2024;AGRUPAMENTO_NATUREZA2;NATUREZA2;AREA;DEPARTAMENTO;SECCIONAL;DP;REGIAO;MUNICIPIO
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Santo André;DM - Ribeirão Pires;Grande São Paulo (exclui a Capital);Ribeirão Pires
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC São Bernardo Campo;007 DP - São Bernardo do Campo;Grande São Paulo (exclui a Capital);São Bernardo do Campo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Taboão da Serra;001 DP - Embú;Grande São Paulo (exclui a Capital);Embu das Artes
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Taboão da Serra;DM - São Lourenço da Serra;Grande São Paulo (exclui a Capital);São Lourenço da Serra
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 1;SEC Guaratinguetá;003 DP - Guaratinguetá;São José dos Campos;Guaratinguetá
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 1;SEC Guaratinguetá;DM - Aparecida;São José dos Campos;Aparecida
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 1;SEC Jacareí;002 DP - Jacareí;São José dos Campos;Jacareí
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 1;SEC Taubaté;001 DP - Pindamonhangaba;São José dos Campos;Pindamonhangaba
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;1ª Seccional Campinas;007 DP - Campinas;Campinas;Campinas
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;1ª Seccional Campinas;DM - Valinhos;Campinas;Valinhos
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;2ª Seccional Campinas;006 DP - Campinas;Campinas;Campinas
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Bragança Paulista;001 DP - Atibaia;Campinas;Atibaia
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Jundiaí;002 DP - Jundiai;Campinas;Jundiaí
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Jundiaí;006 DP - Jundiai;Campinas;Jundiaí
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Jundiaí;DM - Louveira;Campinas;Louveira
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Mogi-Guaçu;DM - Jaguariúna;Campinas;Jaguariúna
